Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,12/12/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:121223 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926081995786 EED:231212   IND ID:0KBF62                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 3461995786TC",2100.00,ACH_CREDIT,14457.16,,
DEBIT,12/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Dec 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000025523386 EED:231201   IND ID:8028351082-0048              IND NAME:8604 Wagon TRN: 3355523386TC",-843.79,ACH_DEBIT,12357.16,,
DEBIT,12/01/2023,"Zelle payment to Trulo Property Management LLC 18876797811",-75.00,QUICKPAY_DEBIT,13200.95,,
CREDIT,11/21/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:112123 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926086215772 EED:231121   IND ID:7NFB52                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 3256215772TC",2100.00,ACH_CREDIT,13275.95,,
DEBIT,11/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Nov 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000026634171 EED:231101   IND ID:8028351082-0047              IND NAME:8604 Wagon TRN: 3056634171TC",-843.79,ACH_DEBIT,11175.95,,
DEBIT,11/01/2023,"Zelle payment to Trulo Property Management LLC 18595699283",-75.00,QUICKPAY_DEBIT,12019.74,,
CREDIT,10/10/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:101023 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926084835019 EED:231010   IND ID:SMPW22                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 2834835019TC",2100.00,ACH_CREDIT,12094.74,,
DEBIT,10/02/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Oct 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000024553413 EED:231002   IND ID:8028351082-0046              IND NAME:8604 Wagon TRN: 2754553413TC",-843.79,ACH_DEBIT,9994.74,,
DEBIT,10/02/2023,"Zelle payment to Trulo Property Management LLC 18317449483",-75.00,QUICKPAY_DEBIT,10838.53,,
CREDIT,09/14/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:091423 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926087048629 EED:230914   IND ID:C9LR12                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 2577048629TC",1852.01,ACH_CREDIT,10913.53,,
DEBIT,09/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Sep 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000027353079 EED:230901   IND ID:8028351082-0045              IND NAME:8604 Wagon TRN: 2447353079TC",-843.79,ACH_DEBIT,9061.52,,
DEBIT,09/01/2023,"Zelle payment to Trulo Property Management LLC 18039595225",-75.00,QUICKPAY_DEBIT,9905.31,,
CREDIT,08/11/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:081123 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926089830625 EED:230811   IND ID:RG0102                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 2239830625TC",3899.44,ACH_CREDIT,9980.31,,
DEBIT,08/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Aug 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000029739423 EED:230801   IND ID:8028351082-0044              IND NAME:8604 Wagon TRN: 2139739423TC",-843.79,ACH_DEBIT,6080.87,,
DEBIT,08/01/2023,"Zelle payment to Trulo Property Management LLC 17769250902",-75.00,QUICKPAY_DEBIT,6924.66,,
DEBIT,07/03/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jul 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000028232631 EED:230703   IND ID:8028351082-0043              IND NAME:8604 Wagon TRN: 1848232631TC",-843.79,ACH_DEBIT,6999.66,,
DEBIT,07/03/2023,"Zelle payment to Trulo Property Management LLC 17498532172",-75.00,QUICKPAY_DEBIT,7843.45,,
DEBIT,06/27/2023,"Zelle payment to 00-Neeraj Gupta JPM999yi6b6c",-120.00,CHASE_TO_PARTNERFI,7918.45,,
CREDIT,06/14/2023,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:061423 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926087397492 EED:230614   IND ID:WL6XW1                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 1657397492TC",1950.00,ACH_CREDIT,8038.45,,
DEBIT,06/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jun 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000021727618 EED:230601   IND ID:8028351082-0042              IND NAME:8604 Wagon TRN: 1521727618TC",-843.79,ACH_DEBIT,6088.45,,
DEBIT,06/01/2023,"Zelle payment to Trulo Property Management LLC 17230521436",-75.00,QUICKPAY_DEBIT,6932.24,,
CREDIT,05/16/2023,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:051623 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926085653525 EED:230516   IND ID:T6NKV1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 1365653525TC",2025.00,ACH_CREDIT,7007.24,,
DEBIT,05/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:May 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000027956830 EED:230501   IND ID:8028351082-0041              IND NAME:8604 Wagon TRN: 1217956830TC",-843.79,ACH_DEBIT,4982.24,,
DEBIT,05/01/2023,"Zelle payment to Trulo Property Management LLC 16973651567",-75.00,QUICKPAY_DEBIT,5826.03,,
CREDIT,04/12/2023,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:041223 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926086238841 EED:230412   IND ID:PZ6WS1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 1026238841TC",1800.00,ACH_CREDIT,5901.03,,
DEBIT,04/03/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Apr 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000024783636 EED:230403   IND ID:8028351082-0040              IND NAME:8604 Wagon TRN: 0934783636TC",-843.79,ACH_DEBIT,4101.03,,
DEBIT,04/03/2023,"Zelle payment to Trulo Property Management LLC 16703171463",-75.00,QUICKPAY_DEBIT,4944.82,,
CREDIT,03/14/2023,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:031423 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926084704010 EED:230314   IND ID:SHMJR1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 0734704010TC",1828.00,ACH_CREDIT,5019.82,,
DEBIT,03/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Mar 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000029504086 EED:230301   IND ID:8028351082-0039              IND NAME:8604 Wagon TRN: 0609504086TC",-843.79,ACH_DEBIT,3191.82,,
DEBIT,03/01/2023,"Zelle payment to Trulo Property Management LLC 16427565847",-75.00,QUICKPAY_DEBIT,4035.61,,
DEBIT,02/28/2023,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,4110.61,,
CREDIT,02/22/2023,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:022223 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926086496195 EED:230222   IND ID:BLZGQ1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 0536496195TC",3813.25,ACH_CREDIT,4125.61,,
DEBIT,02/16/2023,"ORIG CO NAME:ACCT INTEGRATORS       ORIG ID:1454214418 DESC DATE:       CO ENTRY DESCR:Assn Dues SEC:WEB    TRACE#:113024167893853 EED:230216   IND ID:1134283                      IND NAME:Neeraj Gupta TRN: 0477893853TC",-1.99,ACH_DEBIT,312.36,,
DEBIT,02/16/2023,"ORIG CO NAME:CROSS OAK RAN380       ORIG ID:1200378484 DESC DATE:       CO ENTRY DESCR:OnlinePay SEC:WEB    TRACE#:113024167894465 EED:230216   IND ID:1134283                      IND NAME:Neeraj Gupta TRN: 0477894465TC",-56.00,ACH_DEBIT,314.35,,
DEBIT,02/01/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Feb 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000021627576 EED:230201   IND ID:8028351082-0038              IND NAME:8604 Wagon TRN: 0321627576TC",-843.79,ACH_DEBIT,370.35,,
DEBIT,02/01/2023,"Zelle payment to Trulo Property Management LLC 16179957397",-75.00,QUICKPAY_DEBIT,1214.14,,
DEBIT,01/31/2023,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,1289.14,,
DEBIT,01/03/2023,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jan 23 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000020326383 EED:230103   IND ID:8028351082-0037              IND NAME:8604 Wagon TRN: 0030326383TC",-843.79,ACH_DEBIT,1304.14,,
DEBIT,01/03/2023,"Zelle payment to Trulo Property Management LLC 15920220757",-75.00,QUICKPAY_DEBIT,2147.93,,
DEBIT,12/30/2022,"Online Realtime Transfer to WF-Buffer-x3334  3334 transaction#: 16159076173 reference#: 9159076173RX 12/30",-1158.00,ACCT_XFER,2222.93,,
DEBIT,12/30/2022,"Zelle payment to 00-Neeraj Gupta JPM999k8oh60",-3000.00,CHASE_TO_PARTNERFI,3380.93,,
CREDIT,12/30/2022,"Zelle payment from PAGODA HOMES LLC 16168561728",1950.00,QUICKPAY_CREDIT,6380.93,,
CHECK,12/14/2022,"CHECK 1015  ",-5963.06,CHECK_PAID,4430.93,1015,
DEBIT,12/07/2022,"ORIG CO NAME:ACCT INTEGRATORS       ORIG ID:1454214418 DESC DATE:       CO ENTRY DESCR:Assn Dues SEC:WEB    TRACE#:113024160092570 EED:221207   IND ID:1076779                      IND NAME:Neeraj Gupta TRN: 3410092570TC",-1.99,ACH_DEBIT,10393.99,,
DEBIT,12/07/2022,"ORIG CO NAME:CROSS OAK RAN380       ORIG ID:1200378484 DESC DATE:       CO ENTRY DESCR:OnlinePay SEC:CCD    TRACE#:113024160092301 EED:221207   IND ID:1076779                      IND NAME:Neeraj Gupta TRN: 3410092301TC",-163.30,ACH_DEBIT,10395.98,,
DEBIT,12/01/2022,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Dec 22 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000027680796 EED:221201   IND ID:8028351082-0036              IND NAME:8604 Wagon TRN: 3357680796TC",-843.79,ACH_DEBIT,10559.28,,
DEBIT,12/01/2022,"Zelle payment to Trulo Property Management LLC 15679164216",-75.00,QUICKPAY_DEBIT,11403.07,,
CREDIT,12/01/2022,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:120122 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926087303993 EED:221201   IND ID:F63PL1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 3357303993TC",1700.00,ACH_CREDIT,11478.07,,
CREDIT,11/02/2022,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:110222 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926086495661 EED:221102   IND ID:ZMTFK1                       IND NAME:Meadow View Homes LLC                                                                                        972-333-7559 TRN: 3066495661TC",3750.00,ACH_CREDIT,9778.07,,
DEBIT,11/01/2022,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Nov 22 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000022114197 EED:221101   IND ID:8028351082-0035              IND NAME:8604 Wagon TRN: 3052114197TC",-843.79,ACH_DEBIT,6028.07,,
DEBIT,11/01/2022,"Zelle payment to Trulo Property Management LLC 15432368162",-75.00,QUICKPAY_DEBIT,6871.86,,
DEBIT,10/03/2022,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Oct 22 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000029814302 EED:221003   IND ID:8028351082-0034              IND NAME:8604 Wagon TRN: 2769814302TC",-843.79,ACH_DEBIT,6946.86,,
DEBIT,10/03/2022,"Zelle payment to Trulo Property Management LLC 15184053283",-75.00,QUICKPAY_DEBIT,7790.65,,
DEBIT,09/12/2022,"Zelle payment to 00-Neeraj Gupta JPM999g3e5ya",-57.59,CHASE_TO_PARTNERFI,7865.65,,
DEBIT,09/01/2022,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Sep 22 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000023329969 EED:220901   IND ID:8028351082-0033              IND NAME:8604 Wagon TRN: 2443329969TC",-843.79,ACH_DEBIT,7923.24,,
DEBIT,09/01/2022,"Zelle payment to Trulo Property Management LLC 14941492191",-75.00,QUICKPAY_DEBIT,8767.03,,
CREDIT,08/10/2022,"ORIG CO NAME:The Kp Group-a1l       ORIG ID:9000865538 DESC DATE:081022 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926085731775 EED:220810   IND ID:PLQVF1                       IND NAME:Meadow View Homes LLC",3900.00,ACH_CREDIT,8842.03,,
